Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR6235427,OTHER,45,15448073,PRJNA416252,SAMN07946071,Metagenome or environmental,12724167,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344050,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0772,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:33:00Z,1,CGG_5_000340,CGG_5_000340,SRP122964
SRR6235466,OTHER,129,104841925,PRJNA416252,SAMN07945955,Metagenome or environmental,53125884,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344011,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0055,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:35:00Z,1,CGG_5_000153,CGG_5_000153,SRP122964
SRR6235506,OTHER,127,2193044093,PRJNA416252,SAMN07945983,Metagenome or environmental,1234070246,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3343971,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0215,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:40:00Z,1,CGG_5_000235,CGG_5_000235,SRP122964
SRR6235588,OTHER,50,5387640,PRJNA416252,SAMN07946051,Metagenome or environmental,4115779,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3343889,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0730,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:37:00Z,1,CGG_5_000320,CGG_5_000320,SRP122964
SRR6235695,OTHER,101,118135455,PRJNA416252,SAMN07945994,Metagenome or environmental,68936534,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344282,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0228,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:42:00Z,1,CGG_5_000250,CGG_5_000250,SRP122964
SRR6235740,OTHER,92,28701018,PRJNA416252,SAMN07945910,Metagenome or environmental,16847547,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344237,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0288,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:42:00Z,1,CGG_5_000033,CGG_5_000033,SRP122964
SRR6235841,OTHER,83,95806665,PRJNA416252,SAMN07945993,Metagenome or environmental,61775082,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344136,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0235,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:44:00Z,1,CGG_5_000249,CGG_5_000249,SRP122964
SRR6235877,OTHER,133,1566177238,PRJNA416252,SAMN07946000,Metagenome or environmental,874259833,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344100,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0221,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:49:00Z,1,CGG_5_000256,CGG_5_000256,SRP122964
SRR6235905,OTHER,87,89703050,PRJNA416252,SAMN07945984,Metagenome or environmental,54448245,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3344072,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0226,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-10-30T16:46:00Z,1,CGG_5_000240,CGG_5_000240,SRP122964
SRR6242945,OTHER,71,15398625,PRJNA416252,SAMN07946117,Metagenome or environmental,10349741,NATURAL HISTORY MUSEUM,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX3350348,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina HiSeq 2000,not applicable,s0875,PAIRED,cDNA,METAGENOMIC,human metagenome,ILLUMINA,2018-06-01T00:00:00Z,2017-11-01T13:01:00Z,1,CGG_5_000390,CGG_5_000390,SRP122964
